ingredient_id,ingredient_sv,ingredient_en,ingredient_img,vol_smoothie,vol_juice,juice_ok,ingredient_color,smoothie_base,juice_base,ingredient_category 
1,mandel,almond,/almond.png,20,0,true,brown,false,false,piff
2,mandelmjölk,almond milk,/almond-milk.png,50,50,false,white,true,false,other
3,äpple,apple,/apple.png,100,60,true,green,false,true,fruit
4,avocado,avocado,/avocado.png,100,0,false,green,false,false,vegetable
5,banan,banana,/banana.png,80,40,true,yellow,true,false,fruit 
6,rödbeta,beet,/beet.png,100,60,true,red,false,false,vegetable
7,blodapelsin,blood orange,/blood-orange.png,80,60,true,red,false,true,fruit
8,blåbär,blueberry,/blueberry.png,30,30,true,blue,false,false,fruit
9,broccoli,broccoli,/broccoli.png,50,25,true,green,false,false,vegetable
10,morot,carrot,/carrot.png,50,30,true,orange,false,true,vegetable
11,cashewnötter,cashew nuts,/cashew-nuts.png,20,0,false,white,false,false,piff
12,blomkål,cauliflower,/cauliflower.png,50,25,true,white,false,false,vegetable
13,selleri,celery,/celery.png,20,15,true,green,false,false,vegetable
14,körsbär,cherry,/cherry.png,50,50,true,red,false,false,fruit
15,chiafrön,chia seeds,/chia-seeds.png,20,0,false,black,false,false,piff
16,chili,chili,/chili.png,5,5,true,red,false,false,piff
17,kanel,cinnamon,/cinnamon.png,1,1,true,brown,false,false,piff
18,kakao,cocoa,/cocoa.png,10,10,true,brown,false,false,piff
19,kokosnöt,coconut,/coconut.png,20,20,true,white,false,false,piff
20,kokosmjölk,coconut milk,/coconut-milk.png,50,50,false,white,true,false,other
21,kaffe,coffee,/coffee.png,50,50,true,black,false,false,other
22,keso,cottage cheese,/cottage-cheese.png,25,0,false,white,true,false,other
23,dadlar,dates,/dates.png,20,0,false,brown,false,false,other
24,ägg,egg,/egg.png,45,0,false,white,false,false,other
25,linfrön,flax seeds,/flax-seeds.png,20,0,false,brown,false,false,piff
26,ingefära,ginger,/ginger.png,10,5,true,yellow,false,false,piff
27,druva,grape,/grape.png,50,50,true,green,false,false,fruit
28,grapefrukt,grapefruit,/grapefruit.png,200,170,true,pink,false,true,fruit
29,guava,guava,/guava.png,10,10,true,pink,false,false,fruit
30,hasselnötter,hazelnut,/hazelnut.png,20,0,false,brown,false,false,other
31,honung,honey,/honey.png,10,10,true,yellow,false,false,piff
32,is,ice,/ice.png,50,50,true,white,false,false,other
33,grönkål,kale,/kale.png,50,20,true,green,false,true,vegetable
34,kiwi,kiwi,/kiwi.png,50,30,true,green,false,false,fruit
35,citron,lemon,/lemon.png,40,30,true,yellow,false,false,fruit 
36,lime,lime,/lime.png,30,20,true,green,false,false,fruit 
37,mango,mango,/mango.png,100,70,true,yellow,true,false,fruit
38,mjölk,milk,/milk.png,50,0,false,white,true,false,other
39,mynta,mint leaves,/mint.png,10,10,true,green,false,false,piff
40,havredryck,oat milk,/oat-milk.png,50,0,false,white,true,false,other
41,apelsin,orange,/orange.png,100,80,true,orange,false,true,fruit 
42,persika,peach,/peach.png,50,40,true,orange,false,false,fruit
43,jordnötssmör,peanut butter,/peanut-butter.png,25,0,false,brown,false,false,other
44,päron,pear,/pear-green.png,100,60,true,green,false,true,fruit
45,ananas,pineapple,/pineapple.png,100,80,true,yellow,false,true,fruit
46,katrinplommon,prune,/prune.png,20,15,true,purple,false,false,fruit
47,pumpa,pumpkin,/pumpkin.png,50,30,true,orange,false,false,vegetable
48,russin,raisins,/raisins.png,20,0,false,brown,false,false,other
49,hallon,raspberry,/raspberry.png,30,30,true,red,false,false,fruit
50,sodavatten,soda water,/soda-water.png,50,50,true,lightblue,false,false,other
51,sojadryck,soy milk,/soy-milk.png,50,0,false,white,true,false,other
52,spenat,spinach,/spinach.png,50,40,true,green,true,false,vegetable
53,spirulina,spirulina,/spirulina.png,10,10,false,green,false,false,piff
54,jordgubbe,strawberry,/strawberry.png,30,30,true,red,false,false,fruit
55,socker,sugar,/sugar.png,10,10,true,white,false,false,piff
56,tabasco,tabasco,/tabasco.png,5,5,true,red,false,false,piff
57,tomat,tomato,/tomato.png,50,40,true,red,false,true,vegetable
58,vanilla ice cream,vanilla ice cream,/vanilla-ice-cream.png,50,0,false,white,true,false,other
59,veganskt proteinpulver,vegan protein powder,/vegan-protein-powder.png,20,0,false,white,false,false,other
60,valnötter,walnut,/walnut.png,20,20,true,brown,false,false,piff
61,vatten,water,/water.png,50,50,true,lightblue,false,false,other
62,proteinpulver av vassle,whey protein powder,/whey-protein-powder.png,20,0,false,white,false,false,other
63,yoghurt,yoghurt,/yoghurt.png,50,0,false,white,true,false,other
